//ARGV is (#(ARGV.count)) ["eaton_firstRun.adjtime.txt"]
fileInPath = eaton_firstRun.adjtime.txt
// Reading input file...
    1 #         1         2         3
    2 #12345678901234567890123456789012
  192 00A0C6 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  193 00A11C 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  194 00A175 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  195 00A1CE 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  196 00A22A 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  197 00A280 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  198 00A2D9 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  199 00A332 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  200 00A337 18F00503 08 E00000E0204E2020 ## F005 Xmission                   No Button Pressed Yet -> No Button Pressed Yet  
  201 00A38D 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  202 00A3F0 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  203 00A43D 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  204 00A495 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  205 00A4F1 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  206 00A547 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  207 00A5A0 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  208 00A5F9 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  209 00A654 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  210 00A6AA 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  211 00A6B0 18F00503 08 E00000E0204E2020 ## F005 Xmission                   No Button Pressed Yet -> No Button Pressed Yet  
  212 00A703 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  213 00A765 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  214 00A7B8 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  215 00A80E 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  216 00A867 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  217 00A8C2 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  218 00A91B 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  219 00A972 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  220 00A9CB 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  221 00AA23 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  222 00AA29 18F00503 08 E00000E0204E0000 ## F005 Xmission                   No Button Pressed Yet -> No Button Pressed Yet  
  223 00AA7F 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  224 00AAE3 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  225 00AB2E 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  226 00AB87 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  227 00ABE2 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  228 00AC38 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  229 00AC91 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  230 00ACEA 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  231 00AD46 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  232 00AD9C 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  233 00ADA1 18F00503 08 E00000E0204E2020 ## F005 Xmission                   No Button Pressed Yet -> No Button Pressed Yet  
  234 00ADF5 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  235 00AE58 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  236 00AEA9 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  237 00AEFF 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  238 00AF58 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  239 00AFB1 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  240 00B00D 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  241 00B063 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  242 00B0BE 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  243 00B114 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  244 00B11A 18F00503 08 E00000E0204E2020 ## F005 Xmission                   No Button Pressed Yet -> No Button Pressed Yet  
  245 00B170 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  246 00B1D3 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  247 00B21F 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  248 00B278 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  249 00B2D3 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  250 00B32A 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  251 00B383 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  252 00B3DB 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  253 00B437 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  254 00B48D 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  255 00B493 18F00503 08 E00000E0204E2020 ## F005 Xmission                   No Button Pressed Yet -> No Button Pressed Yet  
  256 00B4E6 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  257 00B54F 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  258 00B59A 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  259 00B5F1 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  260 00B64A 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  261 00B6A2 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  262 00B6FE 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  263 00B755 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  264 00B7AD 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  265 00B806 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  266 00B80C 18F00503 08 E00000E0204E2020 ## F005 Xmission                   No Button Pressed Yet -> No Button Pressed Yet  
  267 00B861 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  268 00B8C8 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  269 00B910 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  270 00B969 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  271 00B9C5 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  272 00BA1B 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  273 00BA77 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  274 00BACF 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
  275 00BB2B 0CF00203 08 CD0000FFF00000FF ## F002 Xmission         engaged     0.0  0.0
